category,funny,lazy,cute,playful,loyal,loud,friendly,smart,prob
man,0,2,1,1,2,2,2,0,0.00006502698713001533
man,0,2,1,1,2,2,2,1,0.00006502698713001533
man,0,2,1,1,2,2,2,2,0.00006502698713001533
man,0,2,1,2,0,0,0,0,0.00006502698713001533
man,0,2,1,2,0,0,0,1,0.00006502698713001533
man,0,2,1,2,0,0,0,2,0.00006502698713001533
man,0,2,1,2,0,0,1,0,0.00006502698713001533
man,0,2,1,2,0,0,1,1,0.00006502698713001533
man,0,2,1,2,0,0,1,2,0.00006502698713001533
man,0,2,1,2,0,0,2,0,0.00006502698713001533
man,0,2,1,2,0,0,2,1,0.00006502698713001533
man,0,2,1,2,0,0,2,2,0.00006502698713001533
man,0,2,1,2,0,1,0,0,0.00006502698713001533
man,0,2,1,2,0,1,0,1,0.00006502698713001533
man,0,2,1,2,0,1,0,2,0.00006502698713001533
man,0,2,1,2,0,1,1,0,0.00006502698713001533
man,0,2,1,2,0,1,1,1,0.00006502698713001533
man,0,2,1,2,0,1,1,2,0.00006502698713001533
man,0,2,1,2,0,1,2,0,0.00006502698713001533
man,0,2,1,2,0,1,2,1,0.00006502698713001533
man,0,2,1,2,0,1,2,2,0.00006502698713001533
man,0,2,1,2,0,2,0,0,0.00006502698713001533
man,0,2,1,2,0,2,0,1,0.00006502698713001533
man,0,2,1,2,0,2,0,2,0.00006502698713001533
man,0,2,1,2,0,2,1,0,0.00006502698713001533
man,0,2,1,2,0,2,1,1,0.00006502698713001533
man,0,2,1,2,0,2,1,2,0.00006502698713001533
man,0,2,1,2,0,2,2,0,0.00006502698713001533
man,0,2,1,2,0,2,2,1,0.00006502698713001533
man,0,2,1,2,0,2,2,2,0.00006502698713001533
man,0,2,1,2,1,0,0,0,0.00006502698713001533
man,0,2,1,2,1,0,0,1,0.00006502698713001533
man,0,2,1,2,1,0,0,2,0.00006502698713001533
man,0,2,1,2,1,0,1,0,0.00006502698713001533
man,0,2,1,2,1,0,1,1,0.00006502698713001533
man,0,2,1,2,1,0,1,2,0.00006502698713001533
man,0,2,1,2,1,0,2,0,0.00006502698713001533
man,0,2,1,2,1,0,2,1,0.00006502698713001533
man,0,2,1,2,1,0,2,2,0.00006502698713001533
man,0,2,1,2,1,1,0,0,0.00006502698713001533
man,0,2,1,2,1,1,0,1,0.00006502698713001533
man,0,2,1,2,1,1,0,2,0.00006502698713001533
man,0,2,1,2,1,1,1,0,0.00006502698713001533
man,0,2,1,2,1,1,1,1,0.00006502698713001533
man,0,2,1,2,1,1,1,2,0.00006502698713001533
man,0,2,1,2,1,1,2,0,0.00006502698713001533
man,0,2,1,2,1,1,2,1,0.00006502698713001533
man,0,2,1,2,1,1,2,2,0.00006502698713001533
man,0,2,1,2,1,2,0,0,0.00006502698713001533
man,0,2,1,2,1,2,0,1,0.00006502698713001533
man,0,2,1,2,1,2,0,2,0.00006502698713001533
man,0,2,1,2,1,2,1,0,0.00006502698713001533
man,0,2,1,2,1,2,1,1,0.00006502698713001533
man,0,2,1,2,1,2,1,2,0.00006502698713001533
man,0,2,1,2,1,2,2,0,0.00006502698713001533
man,0,2,1,2,1,2,2,1,0.00006502698713001533
man,0,2,1,2,1,2,2,2,0.00006502698713001533
man,0,2,1,2,2,0,0,0,0.00006502698713001533
man,0,2,1,2,2,0,0,1,0.00006502698713001533
man,0,2,1,2,2,0,0,2,0.00006502698713001533
man,0,2,1,2,2,0,1,0,0.00006502698713001533
man,0,2,1,2,2,0,1,1,0.00006502698713001533
man,0,2,1,2,2,0,1,2,0.00006502698713001533
man,0,2,1,2,2,0,2,0,0.00006502698713001533
man,0,2,1,2,2,0,2,1,0.00006502698713001533
man,0,2,1,2,2,0,2,2,0.00006502698713001533
man,0,2,1,2,2,1,0,0,0.00006502698713001533
man,0,2,1,2,2,1,0,1,0.00006502698713001533
man,0,2,1,2,2,1,0,2,0.00006502698713001533
man,0,2,1,2,2,1,1,0,0.00006502698713001533
man,0,2,1,2,2,1,1,1,0.00006502698713001533
man,0,2,1,2,2,1,1,2,0.00006502698713001533
man,0,2,1,2,2,1,2,0,0.00006502698713001533
man,0,2,1,2,2,1,2,1,0.00006502698713001533
man,0,2,1,2,2,1,2,2,0.00006502698713001533
man,0,2,1,2,2,2,0,0,0.00006502698713001533
man,0,2,1,2,2,2,0,1,0.00006502698713001533
man,0,2,1,2,2,2,0,2,0.00006502698713001533
man,0,2,1,2,2,2,1,0,0.00006502698713001533
man,0,2,1,2,2,2,1,1,0.00006502698713001533
man,0,2,1,2,2,2,1,2,0.00006502698713001533
man,0,2,1,2,2,2,2,0,0.00006502698713001533
man,0,2,1,2,2,2,2,1,0.00006502698713001533
man,0,2,1,2,2,2,2,2,0.00006502698713001533
man,0,2,2,0,0,0,0,0,0.0000495219236921692
man,0,2,2,0,0,0,0,1,0.0000495219236921692
man,0,2,2,0,0,0,0,2,0.0000495219236921692
man,0,2,2,0,0,0,1,0,0.0000495219236921692
man,0,2,2,0,0,0,1,1,0.0000495219236921692
man,0,2,2,0,0,0,1,2,0.0000495219236921692
man,0,2,2,0,0,0,2,0,0.0000495219236921692
man,0,2,2,0,0,0,2,1,0.0000495219236921692
man,0,2,2,0,0,0,2,2,0.0000495219236921692
man,0,2,2,0,0,1,0,0,0.0000495219236921692
man,0,2,2,0,0,1,0,1,0.0000495219236921692
man,0,2,2,0,0,1,0,2,0.0000495219236921692
man,0,2,2,0,0,1,1,0,0.0000495219236921692
man,0,2,2,0,0,1,1,1,0.0000495219236921692
man,0,2,2,0,0,1,1,2,0.0000495219236921692
man,0,2,2,0,0,1,2,0,0.0000495219236921692
man,0,2,2,0,0,1,2,1,0.0000495219236921692
man,0,2,2,0,0,1,2,2,0.0000495219236921692
man,0,2,2,0,0,2,0,0,0.0000495219236921692
man,0,2,2,0,0,2,0,1,0.0000495219236921692
man,0,2,2,0,0,2,0,2,0.0000495219236921692
man,0,2,2,0,0,2,1,0,0.0000495219236921692
man,0,2,2,0,0,2,1,1,0.0000495219236921692
man,0,2,2,0,0,2,1,2,0.0000495219236921692
man,0,2,2,0,0,2,2,0,0.0000495219236921692
man,0,2,2,0,0,2,2,1,0.0000495219236921692
man,0,2,2,0,0,2,2,2,0.0000495219236921692
man,0,2,2,0,1,0,0,0,0.0000495219236921692
man,0,2,2,0,1,0,0,1,0.0000495219236921692
man,0,2,2,0,1,0,0,2,0.0000495219236921692
man,0,2,2,0,1,0,1,0,0.0000495219236921692
man,0,2,2,0,1,0,1,1,0.0000495219236921692
man,0,2,2,0,1,0,1,2,0.0000495219236921692
man,0,2,2,0,1,0,2,0,0.0000495219236921692
man,0,2,2,0,1,0,2,1,0.0000495219236921692
man,0,2,2,0,1,0,2,2,0.0000495219236921692
man,0,2,2,0,1,1,0,0,0.0000495219236921692
man,0,2,2,0,1,1,0,1,0.0000495219236921692
man,0,2,2,0,1,1,0,2,0.0000495219236921692
man,0,2,2,0,1,1,1,0,0.0000495219236921692
man,0,2,2,0,1,1,1,1,0.0000495219236921692
man,0,2,2,0,1,1,1,2,0.0000495219236921692
man,0,2,2,0,1,1,2,0,0.0000495219236921692
man,0,2,2,0,1,1,2,1,0.0000495219236921692
man,0,2,2,0,1,1,2,2,0.0000495219236921692
man,0,2,2,0,1,2,0,0,0.0000495219236921692
man,0,2,2,0,1,2,0,1,0.0000495219236921692
man,0,2,2,0,1,2,0,2,0.0000495219236921692
man,0,2,2,0,1,2,1,0,0.0000495219236921692
man,0,2,2,0,1,2,1,1,0.0000495219236921692
man,0,2,2,0,1,2,1,2,0.0000495219236921692
man,0,2,2,0,1,2,2,0,0.0000495219236921692
man,0,2,2,0,1,2,2,1,0.0000495219236921692
man,0,2,2,0,1,2,2,2,0.0000495219236921692
man,0,2,2,0,2,0,0,0,0.0000495219236921692
man,0,2,2,0,2,0,0,1,0.0000495219236921692
man,0,2,2,0,2,0,0,2,0.0000495219236921692
man,0,2,2,0,2,0,1,0,0.0000495219236921692
man,0,2,2,0,2,0,1,1,0.0000495219236921692
man,0,2,2,0,2,0,1,2,0.0000495219236921692
man,0,2,2,0,2,0,2,0,0.0000495219236921692
man,0,2,2,0,2,0,2,1,0.0000495219236921692
man,0,2,2,0,2,0,2,2,0.0000495219236921692
man,0,2,2,0,2,1,0,0,0.0000495219236921692
man,0,2,2,0,2,1,0,1,0.0000495219236921692
man,0,2,2,0,2,1,0,2,0.0000495219236921692
man,0,2,2,0,2,1,1,0,0.0000495219236921692
man,0,2,2,0,2,1,1,1,0.0000495219236921692
man,0,2,2,0,2,1,1,2,0.0000495219236921692
man,0,2,2,0,2,1,2,0,0.0000495219236921692
man,0,2,2,0,2,1,2,1,0.0000495219236921692
man,0,2,2,0,2,1,2,2,0.0000495219236921692
man,0,2,2,0,2,2,0,0,0.0000495219236921692
man,0,2,2,0,2,2,0,1,0.0000495219236921692
man,0,2,2,0,2,2,0,2,0.0000495219236921692
man,0,2,2,0,2,2,1,0,0.0000495219236921692
man,0,2,2,0,2,2,1,1,0.0000495219236921692
man,0,2,2,0,2,2,1,2,0.0000495219236921692
man,0,2,2,0,2,2,2,0,0.0000495219236921692
man,0,2,2,0,2,2,2,1,0.0000495219236921692
man,0,2,2,0,2,2,2,2,0.0000495219236921692
man,0,2,2,1,0,0,0,0,0.0000495219236921692
man,0,2,2,1,0,0,0,1,0.0000495219236921692
man,0,2,2,1,0,0,0,2,0.0000495219236921692
man,0,2,2,1,0,0,1,0,0.0000495219236921692
man,0,2,2,1,0,0,1,1,0.0000495219236921692
man,0,2,2,1,0,0,1,2,0.0000495219236921692
man,0,2,2,1,0,0,2,0,0.0000495219236921692
man,0,2,2,1,0,0,2,1,0.0000495219236921692
man,0,2,2,1,0,0,2,2,0.0000495219236921692
man,0,2,2,1,0,1,0,0,0.0000495219236921692
man,0,2,2,1,0,1,0,1,0.0000495219236921692
man,0,2,2,1,0,1,0,2,0.0000495219236921692
man,0,2,2,1,0,1,1,0,0.0000495219236921692
man,0,2,2,1,0,1,1,1,0.0000495219236921692
man,0,2,2,1,0,1,1,2,0.0000495219236921692
man,0,2,2,1,0,1,2,0,0.0000495219236921692
man,0,2,2,1,0,1,2,1,0.0000495219236921692
man,0,2,2,1,0,1,2,2,0.0000495219236921692
man,0,2,2,1,0,2,0,0,0.0000495219236921692
man,0,2,2,1,0,2,0,1,0.0000495219236921692
man,0,2,2,1,0,2,0,2,0.0000495219236921692
man,0,2,2,1,0,2,1,0,0.0000495219236921692
man,0,2,2,1,0,2,1,1,0.0000495219236921692
man,0,2,2,1,0,2,1,2,0.0000495219236921692
man,0,2,2,1,0,2,2,0,0.0000495219236921692
man,0,2,2,1,0,2,2,1,0.0000495219236921692
man,0,2,2,1,0,2,2,2,0.0000495219236921692
man,0,2,2,1,1,0,0,0,0.0000495219236921692
man,0,2,2,1,1,0,0,1,0.0000495219236921692
man,0,2,2,1,1,0,0,2,0.0000495219236921692
man,0,2,2,1,1,0,1,0,0.0000495219236921692
man,0,2,2,1,1,0,1,1,0.0000495219236921692
man,0,2,2,1,1,0,1,2,0.0000495219236921692
man,0,2,2,1,1,0,2,0,0.0000495219236921692
man,0,2,2,1,1,0,2,1,0.0000495219236921692
man,0,2,2,1,1,0,2,2,0.0000495219236921692
man,0,2,2,1,1,1,0,0,0.0000495219236921692
man,0,2,2,1,1,1,0,1,0.0000495219236921692
man,0,2,2,1,1,1,0,2,0.0000495219236921692
man,0,2,2,1,1,1,1,0,0.0000495219236921692
man,0,2,2,1,1,1,1,1,0.0000495219236921692
man,0,2,2,1,1,1,1,2,0.0000495219236921692
man,0,2,2,1,1,1,2,0,0.0000495219236921692
man,0,2,2,1,1,1,2,1,0.0000495219236921692
man,0,2,2,1,1,1,2,2,0.0000495219236921692
man,0,2,2,1,1,2,0,0,0.0000495219236921692
man,0,2,2,1,1,2,0,1,0.0000495219236921692
man,0,2,2,1,1,2,0,2,0.0000495219236921692
man,0,2,2,1,1,2,1,0,0.0000495219236921692
man,0,2,2,1,1,2,1,1,0.0000495219236921692
man,0,2,2,1,1,2,1,2,0.0000495219236921692
man,0,2,2,1,1,2,2,0,0.0000495219236921692
man,0,2,2,1,1,2,2,1,0.0000495219236921692
man,0,2,2,1,1,2,2,2,0.0000495219236921692
man,0,2,2,1,2,0,0,0,0.0000495219236921692
man,0,2,2,1,2,0,0,1,0.0000495219236921692
man,0,2,2,1,2,0,0,2,0.0000495219236921692
man,0,2,2,1,2,0,1,0,0.0000495219236921692
man,0,2,2,1,2,0,1,1,0.0000495219236921692
man,0,2,2,1,2,0,1,2,0.0000495219236921692
man,0,2,2,1,2,0,2,0,0.0000495219236921692
man,0,2,2,1,2,0,2,1,0.0000495219236921692
man,0,2,2,1,2,0,2,2,0.0000495219236921692
man,0,2,2,1,2,1,0,0,0.0000495219236921692
man,0,2,2,1,2,1,0,1,0.0000495219236921692
man,0,2,2,1,2,1,0,2,0.0000495219236921692
man,0,2,2,1,2,1,1,0,0.0000495219236921692
man,0,2,2,1,2,1,1,1,0.0000495219236921692
man,0,2,2,1,2,1,1,2,0.0000495219236921692
man,0,2,2,1,2,1,2,0,0.0000495219236921692
man,0,2,2,1,2,1,2,1,0.0000495219236921692
man,0,2,2,1,2,1,2,2,0.0000495219236921692
man,0,2,2,1,2,2,0,0,0.0000495219236921692
man,0,2,2,1,2,2,0,1,0.0000495219236921692
man,0,2,2,1,2,2,0,2,0.0000495219236921692
man,0,2,2,1,2,2,1,0,0.0000495219236921692
man,0,2,2,1,2,2,1,1,0.0000495219236921692
man,0,2,2,1,2,2,1,2,0.0000495219236921692
man,0,2,2,1,2,2,2,0,0.0000495219236921692
man,0,2,2,1,2,2,2,1,0.0000495219236921692
man,0,2,2,1,2,2,2,2,0.0000495219236921692
man,0,2,2,2,0,0,0,0,0.0000495219236921692
man,0,2,2,2,0,0,0,1,0.0000495219236921692
man,0,2,2,2,0,0,0,2,0.0000495219236921692
man,0,2,2,2,0,0,1,0,0.0000495219236921692
man,0,2,2,2,0,0,1,1,0.0000495219236921692
man,0,2,2,2,0,0,1,2,0.0000495219236921692
man,0,2,2,2,0,0,2,0,0.0000495219236921692
man,0,2,2,2,0,0,2,1,0.0000495219236921692
man,0,2,2,2,0,0,2,2,0.0000495219236921692
man,0,2,2,2,0,1,0,0,0.0000495219236921692
man,0,2,2,2,0,1,0,1,0.0000495219236921692
man,0,2,2,2,0,1,0,2,0.0000495219236921692
man,0,2,2,2,0,1,1,0,0.0000495219236921692
man,0,2,2,2,0,1,1,1,0.0000495219236921692
man,0,2,2,2,0,1,1,2,0.0000495219236921692
man,0,2,2,2,0,1,2,0,0.0000495219236921692
man,0,2,2,2,0,1,2,1,0.0000495219236921692
man,0,2,2,2,0,1,2,2,0.0000495219236921692
man,0,2,2,2,0,2,0,0,0.0000495219236921692
man,0,2,2,2,0,2,0,1,0.0000495219236921692
man,0,2,2,2,0,2,0,2,0.0000495219236921692
man,0,2,2,2,0,2,1,0,0.0000495219236921692
man,0,2,2,2,0,2,1,1,0.0000495219236921692
man,0,2,2,2,0,2,1,2,0.0000495219236921692
man,0,2,2,2,0,2,2,0,0.0000495219236921692
man,0,2,2,2,0,2,2,1,0.0000495219236921692
man,0,2,2,2,0,2,2,2,0.0000495219236921692
man,0,2,2,2,1,0,0,0,0.0000495219236921692
man,0,2,2,2,1,0,0,1,0.0000495219236921692
man,0,2,2,2,1,0,0,2,0.0000495219236921692
man,0,2,2,2,1,0,1,0,0.0000495219236921692
man,0,2,2,2,1,0,1,1,0.0000495219236921692
man,0,2,2,2,1,0,1,2,0.0000495219236921692
man,0,2,2,2,1,0,2,0,0.0000495219236921692
man,0,2,2,2,1,0,2,1,0.0000495219236921692
man,0,2,2,2,1,0,2,2,0.0000495219236921692
man,0,2,2,2,1,1,0,0,0.0000495219236921692
man,0,2,2,2,1,1,0,1,0.0000495219236921692
man,0,2,2,2,1,1,0,2,0.0000495219236921692
man,0,2,2,2,1,1,1,0,0.0000495219236921692
man,0,2,2,2,1,1,1,1,0.0000495219236921692
man,0,2,2,2,1,1,1,2,0.0000495219236921692
man,0,2,2,2,1,1,2,0,0.0000495219236921692
man,0,2,2,2,1,1,2,1,0.0000495219236921692
man,0,2,2,2,1,1,2,2,0.0000495219236921692
man,0,2,2,2,1,2,0,0,0.0000495219236921692
man,0,2,2,2,1,2,0,1,0.0000495219236921692
man,0,2,2,2,1,2,0,2,0.0000495219236921692
man,0,2,2,2,1,2,1,0,0.0000495219236921692
man,0,2,2,2,1,2,1,1,0.0000495219236921692
man,0,2,2,2,1,2,1,2,0.0000495219236921692
man,0,2,2,2,1,2,2,0,0.0000495219236921692
man,0,2,2,2,1,2,2,1,0.0000495219236921692
man,0,2,2,2,1,2,2,2,0.0000495219236921692
man,0,2,2,2,2,0,0,0,0.0000495219236921692
man,0,2,2,2,2,0,0,1,0.0000495219236921692
man,0,2,2,2,2,0,0,2,0.0000495219236921692
man,0,2,2,2,2,0,1,0,0.0000495219236921692
man,0,2,2,2,2,0,1,1,0.0000495219236921692
man,0,2,2,2,2,0,1,2,0.0000495219236921692
man,0,2,2,2,2,0,2,0,0.0000495219236921692
man,0,2,2,2,2,0,2,1,0.0000495219236921692
man,0,2,2,2,2,0,2,2,0.0000495219236921692
man,0,2,2,2,2,1,0,0,0.0000495219236921692
man,0,2,2,2,2,1,0,1,0.0000495219236921692
man,0,2,2,2,2,1,0,2,0.0000495219236921692
man,0,2,2,2,2,1,1,0,0.0000495219236921692
man,0,2,2,2,2,1,1,1,0.0000495219236921692
man,0,2,2,2,2,1,1,2,0.0000495219236921692
man,0,2,2,2,2,1,2,0,0.0000495219236921692
man,0,2,2,2,2,1,2,1,0.0000495219236921692
man,0,2,2,2,2,1,2,2,0.0000495219236921692
man,0,2,2,2,2,2,0,0,0.0000495219236921692
man,0,2,2,2,2,2,0,1,0.0000495219236921692
man,0,2,2,2,2,2,0,2,0.0000495219236921692
man,0,2,2,2,2,2,1,0,0.0000495219236921692
man,0,2,2,2,2,2,1,1,0.0000495219236921692
man,0,2,2,2,2,2,1,2,0.0000495219236921692
man,0,2,2,2,2,2,2,0,0.0000495219236921692
man,0,2,2,2,2,2,2,1,0.0000495219236921692
man,0,2,2,2,2,2,2,2,0.0000495219236921692
man,1,0,0,0,0,0,0,0,0.00013562987745785986
man,1,0,0,0,0,0,0,1,0.00013562987745785986
man,1,0,0,0,0,0,0,2,0.00013562987745785986
man,1,0,0,0,0,0,1,0,0.00013562987745785986
man,1,0,0,0,0,0,1,1,0.00013562987745785986
man,1,0,0,0,0,0,1,2,0.00013562987745785986
man,1,0,0,0,0,0,2,0,0.00013562987745785986
man,1,0,0,0,0,0,2,1,0.00013562987745785986
man,1,0,0,0,0,0,2,2,0.00013562987745785986
man,1,0,0,0,0,1,0,0,0.00013562987745785986
man,1,0,0,0,0,1,0,1,0.00013562987745785986
man,1,0,0,0,0,1,0,2,0.00013562987745785986
man,1,0,0,0,0,1,1,0,0.00013562987745785986
man,1,0,0,0,0,1,1,1,0.00013562987745785986
man,1,0,0,0,0,1,1,2,0.00013562987745785986
man,1,0,0,0,0,1,2,0,0.00013562987745785986
man,1,0,0,0,0,1,2,1,0.00013562987745785986
man,1,0,0,0,0,1,2,2,0.00013562987745785986
man,1,0,0,0,0,2,0,0,0.00013562987745785986
man,1,0,0,0,0,2,0,1,0.00013562987745785986
man,1,0,0,0,0,2,0,2,0.00013562987745785986
man,1,0,0,0,0,2,1,0,0.00013562987745785986
man,1,0,0,0,0,2,1,1,0.00013562987745785986
man,1,0,0,0,0,2,1,2,0.00013562987745785986
man,1,0,0,0,0,2,2,0,0.00013562987745785986
man,1,0,0,0,0,2,2,1,0.00013562987745785986
man,1,0,0,0,0,2,2,2,0.00013562987745785986
man,1,0,0,0,1,0,0,0,0.00013562987745785986
man,1,0,0,0,1,0,0,1,0.00013562987745785986
man,1,0,0,0,1,0,0,2,0.00013562987745785986
man,1,0,0,0,1,0,1,0,0.00013562987745785986
man,1,0,0,0,1,0,1,1,0.00013562987745785986
man,1,0,0,0,1,0,1,2,0.00013562987745785986
man,1,0,0,0,1,0,2,0,0.00013562987745785986
man,1,0,0,0,1,0,2,1,0.00013562987745785986
man,1,0,0,0,1,0,2,2,0.00013562987745785986
man,1,0,0,0,1,1,0,0,0.00013562987745785986
man,1,0,0,0,1,1,0,1,0.00013562987745785986
man,1,0,0,0,1,1,0,2,0.00013562987745785986
man,1,0,0,0,1,1,1,0,0.00013562987745785986
man,1,0,0,0,1,1,1,1,0.00013562987745785986
man,1,0,0,0,1,1,1,2,0.00013562987745785986
man,1,0,0,0,1,1,2,0,0.00013562987745785986
man,1,0,0,0,1,1,2,1,0.00013562987745785986
man,1,0,0,0,1,1,2,2,0.00013562987745785986
man,1,0,0,0,1,2,0,0,0.00013562987745785986
man,1,0,0,0,1,2,0,1,0.00013562987745785986
man,1,0,0,0,1,2,0,2,0.00013562987745785986
man,1,0,0,0,1,2,1,0,0.00013562987745785986
man,1,0,0,0,1,2,1,1,0.00013562987745785986
man,1,0,0,0,1,2,1,2,0.00013562987745785986
man,1,0,0,0,1,2,2,0,0.00013562987745785986
man,1,0,0,0,1,2,2,1,0.00013562987745785986
man,1,0,0,0,1,2,2,2,0.00013562987745785986
man,1,0,0,0,2,0,0,0,0.00013562987745785986
man,1,0,0,0,2,0,0,1,0.00013562987745785986
man,1,0,0,0,2,0,0,2,0.00013562987745785986
man,1,0,0,0,2,0,1,0,0.00013562987745785986
man,1,0,0,0,2,0,1,1,0.00013562987745785986
man,1,0,0,0,2,0,1,2,0.00013562987745785986
man,1,0,0,0,2,0,2,0,0.00013562987745785986
man,1,0,0,0,2,0,2,1,0.00013562987745785986
man,1,0,0,0,2,0,2,2,0.00013562987745785986
man,1,0,0,0,2,1,0,0,0.00013562987745785986
man,1,0,0,0,2,1,0,1,0.00013562987745785986
man,1,0,0,0,2,1,0,2,0.00013562987745785986
man,1,0,0,0,2,1,1,0,0.00013562987745785986
man,1,0,0,0,2,1,1,1,0.00013562987745785986
man,1,0,0,0,2,1,1,2,0.00013562987745785986
man,1,0,0,0,2,1,2,0,0.00013562987745785986
man,1,0,0,0,2,1,2,1,0.00013562987745785986
man,1,0,0,0,2,1,2,2,0.00013562987745785986
man,1,0,0,0,2,2,0,0,0.00013562987745785986
man,1,0,0,0,2,2,0,1,0.00013562987745785986
man,1,0,0,0,2,2,0,2,0.00013562987745785986
man,1,0,0,0,2,2,1,0,0.00013562987745785986
man,1,0,0,0,2,2,1,1,0.00013562987745785986
man,1,0,0,0,2,2,1,2,0.00013562987745785986
man,1,0,0,0,2,2,2,0,0.00013562987745785986
man,1,0,0,0,2,2,2,1,0.00013562987745785986
man,1,0,0,0,2,2,2,2,0.00013562987745785986
man,1,0,0,1,0,0,0,0,0.00013562987745785986
man,1,0,0,1,0,0,0,1,0.00013562987745785986
man,1,0,0,1,0,0,0,2,0.00013562987745785986
man,1,0,0,1,0,0,1,0,0.00013562987745785986
man,1,0,0,1,0,0,1,1,0.00013562987745785986
man,1,0,0,1,0,0,1,2,0.00013562987745785986
man,1,0,0,1,0,0,2,0,0.00013562987745785986
man,1,0,0,1,0,0,2,1,0.00013562987745785986
man,1,0,0,1,0,0,2,2,0.00013562987745785986
man,1,0,0,1,0,1,0,0,0.00013562987745785986
man,1,0,0,1,0,1,0,1,0.00013562987745785986
man,1,0,0,1,0,1,0,2,0.00013562987745785986
man,1,0,0,1,0,1,1,0,0.00013562987745785986
man,1,0,0,1,0,1,1,1,0.00013562987745785986
man,1,0,0,1,0,1,1,2,0.00013562987745785986
man,1,0,0,1,0,1,2,0,0.00013562987745785986
man,1,0,0,1,0,1,2,1,0.00013562987745785986
man,1,0,0,1,0,1,2,2,0.00013562987745785986
man,1,0,0,1,0,2,0,0,0.00013562987745785986
man,1,0,0,1,0,2,0,1,0.00013562987745785986
man,1,0,0,1,0,2,0,2,0.00013562987745785986
man,1,0,0,1,0,2,1,0,0.00013562987745785986
man,1,0,0,1,0,2,1,1,0.00013562987745785986
man,1,0,0,1,0,2,1,2,0.00013562987745785986
man,1,0,0,1,0,2,2,0,0.00013562987745785986
man,1,0,0,1,0,2,2,1,0.00013562987745785986
man,1,0,0,1,0,2,2,2,0.00013562987745785986
man,1,0,0,1,1,0,0,0,0.00013562987745785986
man,1,0,0,1,1,0,0,1,0.00013562987745785986
man,1,0,0,1,1,0,0,2,0.00013562987745785986
man,1,0,0,1,1,0,1,0,0.00013562987745785986
man,1,0,0,1,1,0,1,1,0.00013562987745785986
man,1,0,0,1,1,0,1,2,0.00013562987745785986
man,1,0,0,1,1,0,2,0,0.00013562987745785986
man,1,0,0,1,1,0,2,1,0.00013562987745785986
man,1,0,0,1,1,0,2,2,0.00013562987745785986
man,1,0,0,1,1,1,0,0,0.00013562987745785986
man,1,0,0,1,1,1,0,1,0.00013562987745785986
man,1,0,0,1,1,1,0,2,0.00013562987745785986
man,1,0,0,1,1,1,1,0,0.00013562987745785986
man,1,0,0,1,1,1,1,1,0.00013562987745785986
man,1,0,0,1,1,1,1,2,0.00013562987745785986
man,1,0,0,1,1,1,2,0,0.00013562987745785986
man,1,0,0,1,1,1,2,1,0.00013562987745785986
man,1,0,0,1,1,1,2,2,0.00013562987745785986
man,1,0,0,1,1,2,0,0,0.00013562987745785986
man,1,0,0,1,1,2,0,1,0.00013562987745785986
man,1,0,0,1,1,2,0,2,0.00013562987745785986
man,1,0,0,1,1,2,1,0,0.00013562987745785986
man,1,0,0,1,1,2,1,1,0.00013562987745785986
man,1,0,0,1,1,2,1,2,0.00013562987745785986
man,1,0,0,1,1,2,2,0,0.00013562987745785986
man,1,0,0,1,1,2,2,1,0.00013562987745785986
man,1,0,0,1,1,2,2,2,0.00013562987745785986
man,1,0,0,1,2,0,0,0,0.00013562987745785986
man,1,0,0,1,2,0,0,1,0.00013562987745785986
man,1,0,0,1,2,0,0,2,0.00013562987745785986
man,1,0,0,1,2,0,1,0,0.00013562987745785986
man,1,0,0,1,2,0,1,1,0.00013562987745785986
man,1,0,0,1,2,0,1,2,0.00013562987745785986
man,1,0,0,1,2,0,2,0,0.00013562987745785986
man,1,0,0,1,2,0,2,1,0.00013562987745785986
man,1,0,0,1,2,0,2,2,0.00013562987745785986
man,1,0,0,1,2,1,0,0,0.00013562987745785986
man,1,0,0,1,2,1,0,1,0.00013562987745785986
man,1,0,0,1,2,1,0,2,0.00013562987745785986
man,1,0,0,1,2,1,1,0,0.00013562987745785986
man,1,0,0,1,2,1,1,1,0.00013562987745785986
man,1,0,0,1,2,1,1,2,0.00013562987745785986
man,1,0,0,1,2,1,2,0,0.00013562987745785986
man,1,0,0,1,2,1,2,1,0.00013562987745785986
man,1,0,0,1,2,1,2,2,0.00013562987745785986
man,1,0,0,1,2,2,0,0,0.00013562987745785986
man,1,0,0,1,2,2,0,1,0.00013562987745785986
man,1,0,0,1,2,2,0,2,0.00013562987745785986
man,1,0,0,1,2,2,1,0,0.00013562987745785986
man,1,0,0,1,2,2,1,1,0.00013562987745785986
man,1,0,0,1,2,2,1,2,0.00013562987745785986
man,1,0,0,1,2,2,2,0,0.00013562987745785986
man,1,0,0,1,2,2,2,1,0.00013562987745785986
man,1,0,0,1,2,2,2,2,0.00013562987745785986
man,1,0,0,2,0,0,0,0,0.00013562987745785986
man,1,0,0,2,0,0,0,1,0.00013562987745785986
man,1,0,0,2,0,0,0,2,0.00013562987745785986
man,1,0,0,2,0,0,1,0,0.00013562987745785986
man,1,0,0,2,0,0,1,1,0.00013562987745785986
man,1,0,0,2,0,0,1,2,0.00013562987745785986
man,1,0,0,2,0,0,2,0,0.00013562987745785986
man,1,0,0,2,0,0,2,1,0.00013562987745785986
man,1,0,0,2,0,0,2,2,0.00013562987745785986
